cell_id,sample_id,true_cluster,utag_cluster_02,utag_cluster_03,utag_cluster_04,utag_cluster_05,x_coord,y_coord
pix_1,sim_12,1,0,0,0,6,1,1
pix_2,sim_12,1,0,0,0,6,2,1
pix_3,sim_12,1,0,0,0,6,3,1
pix_4,sim_12,1,0,0,0,6,4,1
pix_5,sim_12,1,0,0,0,6,5,1
pix_6,sim_12,1,1,2,2,1,6,1
pix_7,sim_12,3,1,2,2,1,7,1
pix_8,sim_12,1,1,2,2,1,8,1
pix_9,sim_12,3,1,2,2,1,9,1
pix_10,sim_12,3,1,2,2,1,10,1
pix_11,sim_12,3,1,2,2,1,11,1
pix_12,sim_12,2,1,2,2,1,12,1
pix_13,sim_12,1,1,2,2,1,13,1
pix_14,sim_12,2,1,2,2,1,14,1
pix_15,sim_12,2,1,2,2,1,15,1
pix_16,sim_12,2,1,2,2,1,16,1
pix_17,sim_12,8,1,3,3,3,17,1
pix_18,sim_12,2,1,3,3,3,18,1
pix_19,sim_12,2,1,3,3,3,19,1
pix_20,sim_12,2,1,3,3,3,20,1
pix_21,sim_12,1,0,0,0,6,1,2
pix_22,sim_12,1,0,0,0,6,2,2
pix_23,sim_12,1,0,0,0,6,3,2
pix_24,sim_12,1,0,0,0,6,4,2
pix_25,sim_12,1,0,0,0,6,5,2
pix_26,sim_12,3,1,2,2,1,6,2
pix_27,sim_12,1,1,2,2,1,7,2
pix_28,sim_12,1,1,2,2,1,8,2
pix_29,sim_12,3,1,2,2,1,9,2
pix_30,sim_12,3,1,2,2,1,10,2
pix_31,sim_12,3,1,2,2,1,11,2
pix_32,sim_12,2,1,2,2,1,12,2
pix_33,sim_12,1,1,2,2,1,13,2
pix_34,sim_12,2,1,2,2,1,14,2
pix_35,sim_12,2,1,2,2,1,15,2
pix_36,sim_12,2,1,2,2,1,16,2
pix_37,sim_12,8,1,3,3,3,17,2
pix_38,sim_12,8,1,3,3,3,18,2
pix_39,sim_12,8,1,3,3,3,19,2
pix_40,sim_12,2,1,3,3,3,20,2
pix_41,sim_12,1,0,0,0,6,1,3
pix_42,sim_12,1,0,0,0,6,2,3
pix_43,sim_12,1,0,0,0,6,3,3
pix_44,sim_12,1,0,0,0,6,4,3
pix_45,sim_12,1,0,0,0,6,5,3
